Site,plot,grid,pH,Cond,Cond_units,collection_temp_C,Instrument,datetime,Date_YYYYMMDD,Time_24hr,tz,evacuation_date,flag
TEMPEST,Freshwater,C3,6.27,25,uS/cm,23.5,Oakton,2024-06-11T18:17:00Z,20240611,1417,EDT,2024-06-10,NA
TEMPEST,Saltwater,B4,5.87,7.54,mS/cm,25.3,Oakton,2024-06-11T18:00:00Z,20240611,1400,EDT,2024-06-10,NA
TEMPEST,Freshwater,C6,6.03,48.3,uS/cm,23.9,Oakton,2024-06-11T18:00:00Z,20240611,1400,EDT,2024-06-10,NA
TEMPEST,Freshwater,F4,6.05,51.6,uS/cm,24.3,Oakton,2024-06-11T17:43:00Z,20240611,1343,EDT,2024-06-10,NA
TEMPEST,Freshwater,D5,6.2,83.4,uS/cm,24.2,Oakton,2024-06-11T17:30:00Z,20240611,1330,EDT,2024-06-10,NA
TEMPEST,Freshwater,I5,6.87,55.4,uS/cm,23.1,Oakton,2024-06-11T17:07:00Z,20240611,1307,EDT,2024-06-10,NA
TEMPEST,Freshwater,I5,6.89,177.4,uS/cm,23.8,Oakton,2024-06-10T18:45:00Z,20240610,1445,EDT,2024-06-07,NA
TEMPEST,Control,H6,6.56,2.89,uS/cm,25,Oakton,2024-06-10T18:06:00Z,20240610,1406,EDT,NA,NA
TEMPEST,Saltwater,F6,7.46,NA,NA,NA,Oakton,2024-06-10T17:25:00Z,20240610,1325,EDT,NA,temperature not recorded
TEMPEST,Freshwater,H6,6.73,65.2,uS/cm,24.3,Oakton,2024-06-07T19:14:00Z,20240607,1514,EDT,2024-06-04,NA
TEMPEST,Freshwater,I5,6.69,157.2,uS/cm,23.6,Oakton,2024-06-07T19:03:00Z,20240607,1503,EDT,2024-06-04,NA
TEMPEST,Freshwater,H3,5.74,32.2,uS/cm,25.2,Oakton,2024-06-07T18:58:00Z,20240607,1458,EDT,2024-06-04,NA
TEMPEST,Freshwater,F4,6.45,51.3,uS/cm,25.3,Oakton,2024-06-07T18:54:00Z,20240607,1454,EDT,2024-06-04,NA
TEMPEST,Freshwater,C6,5.85,62.1,uS/cm,23.7,Oakton,2024-06-07T18:34:00Z,20240607,1434,EDT,2024-06-04,NA
TEMPEST,Saltwater,B4,6.92,109.3,uS/cm,25.5,Oakton,2024-06-07T18:09:00Z,20240607,1409,EDT,2024-06-04,NA
TEMPEST,Saltwater,F6,6.47,63,uS/cm,25.9,Oakton,2024-06-07T16:14:00Z,20240607,1214,EDT,2024-06-04,NA
TEMPEST,Saltwater,H6,6.16,31.4,uS/cm,26,Oakton,2024-06-07T16:09:00Z,20240607,1209,EDT,2024-06-04,NA
TEMPEST,Saltwater,H3,6.68,113,uS/cm,25.6,Oakton,2024-06-07T15:56:00Z,20240607,1156,EDT,2024-06-04,NA
TEMPEST,Control,H3,5.94,28,uS/cm,24.2,Oakton,2024-06-07T15:02:00Z,20240607,1102,EDT,2024-06-04,NA
