TEMPEST Sample List: SO4/Cl/H2S 20260501 - 20260813,,,,,
Vial_Number,Sample_ID,Plot,Collection_Date_YYYYMMDD,Timepoint,type
274,TMP_FW_PW_B4_15cm_SO4_20260611_D5_PM,Freshwater,20260611,D5_PM,PW
275,TMP_FW_PW_C3_15cm_SO4_20260611_D5_PM,Freshwater,20260611,D5_PM,PW
276,TMP_FW_PW_C3_30cm_SO4_20260611_D5_PM,Freshwater,20260611,D5_PM,PW
277,TMP_FW_PW_C3_50cm_SO4_20260611_D5_PM,Freshwater,20260611,D5_PM,PW
278,TMP_FW_PW_C6_15cm_SO4_20260611_D5_PM,Freshwater,20260611,D5_PM,PW
279,TMP_FW_PW_C6_30cm_SO4_20260611_D5_PM,Freshwater,20260611,D5_PM,PW
280,TMP_FW_PW_C6_50cm_SO4_20260611_D5_PM,Freshwater,20260611,D5_PM,PW
281,TMP_FW_PW_D5_15cm_SO4_20260611_D5_PM,Freshwater,20260611,D5_PM,PW
282,TMP_FW_PW_E3_15cm_SO4_20260611_D5_PM,Freshwater,20260611,D5_PM,PW
283,TMP_FW_PW_F4_15cm_SO4_20260611_D5_PM,Freshwater,20260611,D5_PM,PW
284,TMP_FW_PW_F4_30cm_SO4_20260611_D5_PM,Freshwater,20260611,D5_PM,PW
285,TMP_FW_PW_F4_50cm_SO4_20260611_D5_PM,Freshwater,20260611,D5_PM,PW
287,TMP_FW_PW_H3_15cm_SO4_20260611_D5_PM,Freshwater,20260611,D5_PM,PW
288,TMP_FW_PW_H3_30cm_SO4_20260611_D5_PM,Freshwater,20260611,D5_PM,PW
289,TMP_FW_PW_H3_50cm_SO4_20260611_D5_PM,Freshwater,20260611,D5_PM,PW
290,TMP_FW_PW_H6_15cm_SO4_20260611_D5_PM,Freshwater,20260611,D5_PM,PW
291,TMP_FW_PW_H6_30cm_SO4_20260611_D5_PM,Freshwater,20260611,D5_PM,PW
292,TMP_FW_PW_H6_50cm_SO4_20260611_D5_PM,Freshwater,20260611,D5_PM,PW
293,TMP_FW_PW_I5_15cm_SO4_20260611_D5_PM,Freshwater,20260611,D5_PM,PW
286,TMP_FW_PW_F6_15cm_SO4_20260611_D5_PM,Freshwater,20260611,D5_PM,PW
294,TMP_SW_SCE_SO4_20260611_D5_PM,Saltwater,20260611,D5_PM,SCE
295,TMP_FW_SCE_SO4_20260611_D5_PM,Freshwater,20260611,D5_PM,SCE
296,TMP_EST_SCE_SO4_20260611_D5_HT,Estuary,20260611,D5_PM,SCE
252,TMP_SW_RO_SO4_20260611_D5_T1,Saltwater,20260611,D5_T1,RO
253,TMP_FW_RO_SO4_20260611_D5_T1,Freshwater,20260611,D5_T1,RO
297,TMP_SW_RO_SO4_20260611_D5_T2,Saltwater,20260611,D5_T2,RO
298,TMP_FW_RO_SO4_20260611_D5_T2,Freshwater,20260611,D5_T2,RO
299,TMP_SW_PW_B4_15cm_SO4_20260612_D6_PM,Saltwater,20260612,D6_PM,PW
300,TMP_SW_PW_C3_15cm_SO4_20260612_D6_PM,Saltwater,20260612,D6_PM,PW
301,TMP_SW_PW_C3_50cm_SO4_20260612_D6_PM,Saltwater,20260612,D6_PM,PW
302,TMP_SW_PW_C6_15cm_SO4_20260612_D6_PM,Saltwater,20260612,D6_PM,PW
303,TMP_SW_PW_C6_30cm_SO4_20260612_D6_PM,Saltwater,20260612,D6_PM,PW
304,TMP_SW_PW_C6_50cm_SO4_20260612_D6_PM,Saltwater,20260612,D6_PM,PW
305,TMP_SW_PW_D5_15cm_SO4_20260612_D6_PM,Saltwater,20260612,D6_PM,PW
306,TMP_SW_PW_E3_15cm_SO4_20260612_D6_PM,Saltwater,20260612,D6_PM,PW
307,TMP_SW_PW_F4_15cm_SO4_20260612_D6_PM,Saltwater,20260612,D6_PM,PW
308,TMP_SW_PW_F4_30cm_SO4_20260612_D6_PM,Saltwater,20260612,D6_PM,PW
309,TMP_SW_PW_F4_50cm_SO4_20260612_D6_PM,Saltwater,20260612,D6_PM,PW
311,TMP_SW_PW_H3_15cm_SO4_20260612_D6_PM,Saltwater,20260612,D6_PM,PW
312,TMP_SW_PW_H3_30cm_SO4_20260612_D6_PM,Saltwater,20260612,D6_PM,PW
313,TMP_SW_PW_H3_50cm_SO4_20260612_D6_PM,Saltwater,20260612,D6_PM,PW
314,TMP_SW_PW_H6_15cm_SO4_20260612_D6_PM,Saltwater,20260612,D6_PM,PW
315,TMP_SW_PW_H6_30cm_SO4_20260612_D6_PM,Saltwater,20260612,D6_PM,PW
316,TMP_SW_PW_H6_50cm_SO4_20260612_D6_PM,Saltwater,20260612,D6_PM,PW
317,TMP_SW_PW_I5_15cm_SO4_20260612_D6_PM,Saltwater,20260612,D6_PM,PW
310,TMP_SW_PW_F6_15cm_SO4_20260612_D6_PM,Saltwater,20260612,D6_PM,PW
318,TMP_FW_PW_B4_15cm_SO4_20260612_D6_PM,Freshwater,20260612,D6_PM,PW
319,TMP_FW_PW_C3_15cm_SO4_20260612_D6_PM,Freshwater,20260612,D6_PM,PW
320,TMP_FW_PW_C3_30cm_SO4_20260612_D6_PM,Freshwater,20260612,D6_PM,PW
321,TMP_FW_PW_C3_50cm_SO4_20260612_D6_PM,Freshwater,20260612,D6_PM,PW
322,TMP_FW_PW_C6_15cm_SO4_20260612_D6_PM,Freshwater,20260612,D6_PM,PW
323,TMP_FW_PW_C6_30cm_SO4_20260612_D6_PM,Freshwater,20260612,D6_PM,PW
324,TMP_FW_PW_C6_50cm_SO4_20260612_D6_PM,Freshwater,20260612,D6_PM,PW
325,TMP_FW_PW_D5_15cm_SO4_20260612_D6_PM,Freshwater,20260612,D6_PM,PW
326,TMP_FW_PW_E3_15cm_SO4_20260612_D6_PM,Freshwater,20260612,D6_PM,PW
327,TMP_FW_PW_F4_15cm_SO4_20260612_D6_PM,Freshwater,20260612,D6_PM,PW
328,TMP_FW_PW_F4_30cm_SO4_20260612_D6_PM,Freshwater,20260612,D6_PM,PW
329,TMP_FW_PW_F4_50cm_SO4_20260612_D6_PM,Freshwater,20260612,D6_PM,PW
331,TMP_FW_PW_H3_15cm_SO4_20260612_D6_PM,Freshwater,20260612,D6_PM,PW
332,TMP_FW_PW_H3_30cm_SO4_20260612_D6_PM,Freshwater,20260612,D6_PM,PW
333,TMP_FW_PW_H3_50cm_SO4_20260612_D6_PM,Freshwater,20260612,D6_PM,PW
334,TMP_FW_PW_H6_15cm_SO4_20260612_D6_PM,Freshwater,20260612,D6_PM,PW
335,TMP_FW_PW_H6_30cm_SO4_20260612_D6_PM,Freshwater,20260612,D6_PM,PW
336,TMP_FW_PW_H6_50cm_SO4_20260612_D6_PM,Freshwater,20260612,D6_PM,PW
337,TMP_FW_PW_I5_15cm_SO4_20260612_D6_PM,Freshwater,20260612,D6_PM,PW
330,TMP_FW_PW_F6_15cm_SO4_20260612_D6_PM,Freshwater,20260612,D6_PM,PW
338,TMP_C_PW_C6_50cm_SO4_20260615_Post,Control,20260615,Post,PW
339,TMP_SW_PW_B4_15cm_SO4_20260615_Post,Saltwater,20260615,Post,PW
340,TMP_SW_PW_C3_30cm_SO4_20260615_Post,Saltwater,20260615,Post,PW
341,TMP_SW_PW_C3_50cm_SO4_20260615_Post,Saltwater,20260615,Post,PW
342,TMP_SW_PW_C6_30cm_SO4_20260615_Post,Saltwater,20260615,Post,PW
343,TMP_SW_PW_C6_50cm_SO4_20260615_Post,Saltwater,20260615,Post,PW
344,TMP_SW_PW_F4_30cm_SO4_20260615_Post,Saltwater,20260615,Post,PW
345,TMP_SW_PW_F4_50cm_SO4_20260615_Post,Saltwater,20260615,Post,PW
346,TMP_SW_PW_H3_15cm_SO4_20260615_Post,Saltwater,20260615,Post,PW
347,TMP_SW_PW_H3_30cm_SO4_20260615_Post,Saltwater,20260615,Post,PW
348,TMP_SW_PW_H3_50cm_SO4_20260615_Post,Saltwater,20260615,Post,PW
349,TMP_SW_PW_H6_30cm_SO4_20260615_Post,Saltwater,20260615,Post,PW
350,TMP_SW_PW_H6_50cm_SO4_20260615_Post,Saltwater,20260615,Post,PW
351,TMP_SW_PW_I5_15cm_SO4_20260615_Post,Saltwater,20260615,Post,PW
352,TMP_FW_PW_C3_30cm_SO4_20260615_Post,Freshwater,20260615,Post,PW
353,TMP_FW_PW_C3_50cm_SO4_20260615_Post,Freshwater,20260615,Post,PW
354,TMP_FW_PW_C6_15cm_SO4_20260615_Post,Freshwater,20260615,Post,PW
355,TMP_FW_PW_C6_30cm_SO4_20260615_Post,Freshwater,20260615,Post,PW
356,TMP_FW_PW_C6_50cm_SO4_20260615_Post,Freshwater,20260615,Post,PW
357,TMP_FW_PW_D5_15cm_SO4_20260615_Post,Freshwater,20260615,Post,PW
358,TMP_FW_PW_E3_15cm_SO4_20260615_Post,Freshwater,20260615,Post,PW
359,TMP_FW_PW_F4_30cm_SO4_20260615_Post,Freshwater,20260615,Post,PW
360,TMP_FW_PW_F4_50cm_SO4_20260615_Post,Freshwater,20260615,Post,PW
361,TMP_FW_PW_H3_30cm_SO4_20260615_Post,Freshwater,20260615,Post,PW
362,TMP_FW_PW_H3_50cm_SO4_20260615_Post,Freshwater,20260615,Post,PW
363,TMP_FW_PW_H6_30cm_SO4_20260615_Post,Freshwater,20260615,Post,PW
364,TMP_FW_PW_H6_50cm_SO4_20260615_Post,Freshwater,20260615,Post,PW
365,TMP_FW_PW_I5_15cm_SO4_20260615_Post,Freshwater,20260615,Post,PW
366,TMP_C_PW_C6_50cm_SO4_20260618_Post,Control,20260618,Post,PW
367,TMP_FW_PW_C3_30cm_SO4_20260618_Post,Freshwater,20260618,Post,PW
368,TMP_FW_PW_C6_15cm_SO4_20260618_Post,Freshwater,20260618,Post,PW
369,TMP_FW_PW_C6_30cm_SO4_20260618_Post,Freshwater,20260618,Post,PW
370,TMP_FW_PW_C6_50cm_SO4_20260618_Post,Freshwater,20260618,Post,PW
371,TMP_FW_PW_D5_15cm_SO4_20260618_Post,Freshwater,20260618,Post,PW
372,TMP_FW_PW_E3_15cm_SO4_20260618_Post,Freshwater,20260618,Post,PW
373,TMP_FW_PW_F4_30cm_SO4_20260618_Post,Freshwater,20260618,Post,PW
374,TMP_FW_PW_F4_50cm_SO4_20260618_Post,Freshwater,20260618,Post,PW
375,TMP_FW_PW_H3_30cm_SO4_20260618_Post,Freshwater,20260618,Post,PW
376,TMP_FW_PW_H6_30cm_SO4_20260618_Post,Freshwater,20260618,Post,PW
377,TMP_FW_PW_H6_50cm_SO4_20260618_Post,Freshwater,20260618,Post,PW
378,TMP_SW_PW_B4_15cm_SO4_20260618_Post,Saltwater,20260618,Post,PW
379,TMP_SW_PW_C3_30cm_SO4_20260618_Post,Saltwater,20260618,Post,PW
380,TMP_SW_PW_C3_50cm_SO4_20260618_Post,Saltwater,20260618,Post,PW
381,TMP_SW_PW_C6_30cm_SO4_20260618_Post,Saltwater,20260618,Post,PW
382,TMP_SW_PW_F4_30cm_SO4_20260618_Post,Saltwater,20260618,Post,PW
383,TMP_SW_PW_F4_50cm_SO4_20260618_Post,Saltwater,20260618,Post,PW
384,TMP_SW_PW_H3_30cm_SO4_20260618_Post,Saltwater,20260618,Post,PW
385,TMP_SW_PW_H3_50cm_SO4_20260618_Post,Saltwater,20260618,Post,PW
386,TMP_SW_PW_H6_30cm_SO4_20260618_Post,Saltwater,20260618,Post,PW
387,TMP_SW_PW_H6_50cm_SO4_20260618_Post,Saltwater,20260618,Post,PW
388,TMP_FW_PW_C6_15cm_SO4_20260622_Post,Freshwater,20260622,Post,PW
389,TMP_FW_PW_C6_30cm_SO4_20260622_Post,Freshwater,20260622,Post,PW
390,TMP_FW_PW_C6_50cm_SO4_20260622_Post,Freshwater,20260622,Post,PW
391,TMP_FW_PW_D5_15cm_SO4_20260622_Post,Freshwater,20260622,Post,PW
392,TMP_FW_PW_F4_30cm_SO4_20260622_Post,Freshwater,20260622,Post,PW
393,TMP_FW_PW_F4_50cm_SO4_20260622_Post,Freshwater,20260622,Post,PW
394,TMP_FW_PW_H6_30cm_SO4_20260622_Post,Freshwater,20260622,Post,PW
395,TMP_FW_PW_H6_50cm_SO4_20260622_Post,Freshwater,20260622,Post,PW
396,TMP_SW_PW_B4_15cm_SO4_20260622_Post,Saltwater,20260622,Post,PW
397,TMP_SW_PW_C3_30cm_SO4_20260622_Post,Saltwater,20260622,Post,PW
398,TMP_SW_PW_C6_30cm_SO4_20260622_Post,Saltwater,20260622,Post,PW
399,TMP_SW_PW_F4_30cm_SO4_20260622_Post,Saltwater,20260622,Post,PW
400,TMP_SW_PW_F4_50cm_SO4_20260622_Post,Saltwater,20260622,Post,PW
401,TMP_SW_PW_H3_30cm_SO4_20260622_Post,Saltwater,20260622,Post,PW
402,TMP_SW_PW_H3_50cm_SO4_20260622_Post,Saltwater,20260622,Post,PW
403,TMP_SW_PW_H6_30cm_SO4_20260622_Post,Saltwater,20260622,Post,PW
404,TMP_SW_PW_H6_50cm_SO4_20260622_Post,Saltwater,20260622,Post,PW
405,TMP_C_PW_F4_30cm_SO4_20260810,Control,20260810,Post,PW
406,TMP_C_PW_H3_15cm_SO4_20260810,Control,20260810,Post,PW
407,TMP_C_PW_H3_30cm_SO4_20260810,Control,20260810,Post,PW
408,TMP_C_PW_H6_30cm_SO4_20260810,Control,20260810,Post,PW
409,TMP_FW_PW_C3_30cm_SO4_20260810,Freshwater,20260810,Post,PW
410,TMP_FW_PW_C6_15cm_SO4_20260810,Freshwater,20260810,Post,PW
411,TMP_FW_PW_C6_30cm_SO4_20260810,Freshwater,20260810,Post,PW
412,TMP_FW_PW_C6_50cm_SO4_20260810,Freshwater,20260810,Post,PW
413,TMP_FW_PW_D5_15cm_SO4_20260810,Freshwater,20260810,Post,PW
414,TMP_FW_PW_E3_15cm_SO4_20260810,Freshwater,20260810,Post,PW
415,TMP_FW_PW_F4_30cm_SO4_20260810,Freshwater,20260810,Post,PW
416,TMP_FW_PW_F4_50cm_SO4_20260810,Freshwater,20260810,Post,PW
417,TMP_FW_PW_H6_30cm_SO4_20260810,Freshwater,20260810,Post,PW
418,TMP_FW_PW_H6_50cm_SO4_20260810,Freshwater,20260810,Post,PW
419,TMP_SW_PW_B4_15cm_SO4_20260810,Saltwater,20260810,Post,PW
420,TMP_SW_PW_C3_30cm_SO4_20260810,Saltwater,20260810,Post,PW
421,TMP_SW_PW_C3_50cm_SO4_20260810,Saltwater,20260810,Post,PW
422,TMP_SW_PW_C6_30cm_SO4_20260810,Saltwater,20260810,Post,PW
423,TMP_SW_PW_C6_50cm_SO4_20260810,Saltwater,20260810,Post,PW
424,TMP_SW_PW_F4_30cm_SO4_20260810,Saltwater,20260810,Post,PW
425,TMP_SW_PW_F4_50cm_SO4_20260810,Saltwater,20260810,Post,PW
426,TMP_SW_PW_F6_15cm_SO4_20260810,Saltwater,20260810,Post,PW
427,TMP_SW_PW_H3_30cm_SO4_20260810,Saltwater,20260810,Post,PW
428,TMP_SW_PW_H3_50cm_SO4_20260810,Saltwater,20260810,Post,PW
429,TMP_SW_PW_H6_15cm_SO4_20260810,Saltwater,20260810,Post,PW
430,TMP_SW_PW_H6_30cm_SO4_20260810,Saltwater,20260810,Post,PW
431,TMP_SW_PW_H6_50cm_SO4_20260810,Saltwater,20260810,Post,PW
432,TMP_C_PW_C6_50cm_SO4_20260813,Control,20260813,Post,PW
