"","Project","Zone","Grid","Depth_cm","Event_Time","Time_of_day","Source","Volume_mL","Collection_Date","Evacuation_Date","Collection_Start_Time_24hrs","Collection_End_Time_24hrs","Sample_ID","NH3_uM","PO4_uM","NOx_uM","NH3_range","PO4_range","NOx_range","Run_notes","Field_notes"
"62","TEMPEST","FW","F4","15cm",NA,NA,"PW",6,"20230807",20230804,1302,904,"TMP_FW_F4_20230807_15cm","1.97833893779406","0.451569605974284","1.62836356886347","Within_Range","Within_Range","bdl","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"63","TEMPEST","FW","F4","15cm",NA,NA,"PW",8,"20231211",20231208,1144,1318,"TMP_FW_F4_20231211_15cm","0.457495341515132","0.321060635267408","0.367823969957235","bdl","Within_Range","bdl","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"64","TEMPEST","FW","F6","15cm",NA,NA,"PW",8,"20230627",20230623,1326,1140,"TMP_FW_F6_20230627_15cm","1.30994452654801","0.540312850278795","0.700950259518659","bdl","Within_Range","bdl","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"65","TEMPEST","FW","F6","15cm",NA,NA,"PW",8,"20230810",20230807,916,1307,"TMP_FW_F6_20230810_15cm","48.8805357436084","0.735148179085723","3.71979124276239","Within_Range","Within_Range","Within_Range","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"66","TEMPEST","FW","F6","15cm",NA,NA,"PW",8,"20231211",20231208,1208,1330,"TMP_FW_F6_20231211_15cm","0.306139204809127","0.730150570798261","0.515467597649696","bdl","Within_Range","bdl","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"67","TEMPEST","FW","H3","15cm",NA,NA,"PW",6.5,"20230614",20230612,1006,1528,"TMP_FW_H3_20230614_15cm","2.03738210999022","0.309566136206244","1.69511733670315","Within_Range","Within_Range","bdl","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"68","TEMPEST","FW","H3","15cm",NA,NA,"PW",8,"20230627",20230623,1334,1108,"TMP_FW_H3_20230627_15cm","1.43766911549473","0.30628199361734","0.658970349903975","Within_Range","Within_Range","bdl","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"69","TEMPEST","FW","H3","15cm",NA,NA,"PW",8,"20230810",20230807,1304,1322,"TMP_FW_H3_20230810_15cm","2.51993688734677","0.32227434013722","1.02986427923779","Within_Range","Within_Range","bdl","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"70","TEMPEST","FW","H3","15cm",NA,NA,"PW",8,"20231002",20230929,1548,951,"TMP_FW_H3_20231002_15cm","1.51099116851221","0.403378383202325","0.438718613235095","Within_Range","Within_Range","bdl","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"71","TEMPEST","FW","H3","15cm",NA,NA,"PW",8,"20231208",20231205,1117,1148,"TMP_FW_H3_20231208_15cm","0.31849043671957","0.230960897284871","0.480127367616926","bdl","Within_Range","bdl","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
