"Project","Region","Sample_ID","Sample_Year","Sample_Month","Sample_Day","Site","Event","Plot","Location","Depth_cm","Timepoint","Sample_Type","Evacuation_date_YYYYMMDD","Collection_Date_YYYYMMDD","Collection_Start_Time_24hrs","Collection_End_Time_24hrs","EST_EDT","Notes","npoc_mgL","npoc_uM","npoc_flag","tdn_mgL","tdn_uM","tdn_flag","NOx_mgL","NOx_uM","NOx_flag","NH3_mgL","NH3_uM","NH3_flag","PO4_mgL","PO4_uM","PO4_flag","SO4_ppm","SO4_mM","SO4_flag","Cl_ppm","Cl_mM","Cl_flag","Salinity","H2S_mean_uM","H2S_sd_uM","H2S_flag","pH","pH_flag","Cond","Cond_units","Collection_temp_C","Temperature_flag","Analyte_Notes"
"COMPASS","CB","TMP_PW_FW_H6_15CM_20220622_T1",2022,6,22,"TMP","TMP-I","F","H6","15","T1","PW",20220622,20220622,1245,1445,"EDT",NA,NA,NA,"omitted for high dilution and blank values",NA,NA,"omitted for high dilution and blank values",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nutrients, pH, Sulfate/Chloride/Salinity, and Sulfide were not analyzed in 2022"
"COMPASS","CB","TMP_PW_FW_B4_15CM_20220622_T1",2022,6,22,"TMP","TMP-I","F","B4","15","T1","PW",20220622,20220622,1245,1445,"EDT",NA,NA,NA,"omitted for high dilution and blank values",NA,NA,"omitted for high dilution and blank values",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nutrients, pH, Sulfate/Chloride/Salinity, and Sulfide were not analyzed in 2022"
"COMPASS","CB","TMP_PW_FW_F6_15CM_20220622_T1",2022,6,22,"TMP","TMP-I","F","F6","15","T1","PW",20220622,20220622,1245,1445,"EDT",NA,NA,NA,"omitted for high dilution and blank values",NA,NA,"omitted for high dilution and blank values",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nutrients, pH, Sulfate/Chloride/Salinity, and Sulfide were not analyzed in 2022"
"COMPASS","CB","TMP_PW_FW_C6_15CM_20220622_T2",2022,6,22,"TMP","TMP-I","F","C6","15","T2","PW",20220622,20220622,1614,NA,"EDT",NA,NA,NA,"omitted for high dilution and blank values",NA,NA,"omitted for high dilution and blank values",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nutrients, pH, Sulfate/Chloride/Salinity, and Sulfide were not analyzed in 2022"
"COMPASS","CB","TMP_PW_C_H6_15CM_20220622_T2",2022,6,22,"TMP","TMP-I","C","H6","15","T2","PW",20220622,20220622,1634,1740,"EDT","9 mL kept for CDOM, additional 1 mL thrown out - no use for further pooling",19.16,1596.67,NA,0.59,42.14,"blank is greater than or equal to 25% of sample value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nutrients, pH, Sulfate/Chloride/Salinity, and Sulfide were not analyzed in 2022"
"COMPASS","CB","TMP_PW_C_C6_15CM_20220623_T3",2022,6,23,"TMP","Monitoring","C","C6","15","T3","PW",20220623,20220623,938,NA,"EDT",NA,24.39,2032.5,NA,0.72,51.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nutrients, pH, Sulfate/Chloride/Salinity, and Sulfide were not analyzed in 2022"
"COMPASS","CB","TMP_PW_FW_H3_15CM_20220623_T3",2022,6,23,"TMP","Monitoring","F","H3","15","T3","PW",20220623,20220623,938,NA,"EDT",NA,10.23,852.5,NA,0.3,21.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nutrients, pH, Sulfate/Chloride/Salinity, and Sulfide were not analyzed in 2022"
"COMPASS","CB","TMP_PW_FW_F4_15CM_20220623_T3",2022,6,23,"TMP","Monitoring","F","F4","15","T3","PW",20220623,20220623,938,NA,"EDT",NA,9.6,800,NA,0.32,22.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nutrients, pH, Sulfate/Chloride/Salinity, and Sulfide were not analyzed in 2022"
"COMPASS","CB","TMP_PW_C_H6_15CM_20220623_T3",2022,6,23,"TMP","Monitoring","C","H6","15","T3","PW",20220623,20220623,938,NA,"EDT",NA,20.74,1728.33,NA,0.62,44.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nutrients, pH, Sulfate/Chloride/Salinity, and Sulfide were not analyzed in 2022"
"COMPASS","CB","TMP_PW_C_I5_15CM_20220623_T3",2022,6,23,"TMP","Monitoring","C","I5","15","T3","PW",20220623,20220623,938,NA,"EDT",NA,22.93,1910.83,NA,0.67,47.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nutrients, pH, Sulfate/Chloride/Salinity, and Sulfide were not analyzed in 2022"
