TEMPEST Sample List: SO4/Cl/H2S 20260501 - 20260612,,,,,,
Sample_Number,Vial_Number,Sample_ID,Plot,Collection_Date_YYYYMMDD,Timepoint,type
262,263,TMP_SW_PW_E3_15cm_SO4_20260611_D5-PM,Saltwater,20260611,D5-PM,PW
263,264,TMP_SW_PW_F4_15cm_SO4_20260611_D5-PM,Saltwater,20260611,D5-PM,PW
264,265,TMP_SW_PW_F4_30cm_SO4_20260611_D5-PM,Saltwater,20260611,D5-PM,PW
265,266,TMP_SW_PW_F4_50cm_SO4_20260611_D5-PM,Saltwater,20260611,D5-PM,PW
266,267,TMP_SW_PW_H3_15cm_SO4_20260611_D5-PM,Saltwater,20260611,D5-PM,PW
267,268,TMP_SW_PW_H3_30cm_SO4_20260611_D5-PM,Saltwater,20260611,D5-PM,PW
268,269,TMP_SW_PW_H3_50cm_SO4_20260611_D5-PM,Saltwater,20260611,D5-PM,PW
269,270,TMP_SW_PW_H6_15cm_SO4_20260611_D5-PM,Saltwater,20260611,D5-PM,PW
270,271,TMP_SW_PW_H6_30cm_SO4_20260611_D5-PM,Saltwater,20260611,D5-PM,PW
271,272,TMP_SW_PW_H6_50cm_SO4_20260611_D5-PM,Saltwater,20260611,D5-PM,PW
272,273,TMP_SW_PW_I5_15cm_SO4_20260611_D5-PM,Saltwater,20260611,D5-PM,PW
273,274,TMP_FW_PW_B4_15cm_SO4_20260611_D5-PM,Freshwater,20260611,D5-PM,PW
274,275,TMP_FW_PW_C3_15cm_SO4_20260611_D5-PM,Freshwater,20260611,D5-PM,PW
275,276,TMP_FW_PW_C3_30cm_SO4_20260611_D5-PM,Freshwater,20260611,D5-PM,PW
276,277,TMP_FW_PW_C3_50cm_SO4_20260611_D5-PM,Freshwater,20260611,D5-PM,PW
277,278,TMP_FW_PW_C6_15cm_SO4_20260611_D5-PM,Freshwater,20260611,D5-PM,PW
278,279,TMP_FW_PW_C6_30cm_SO4_20260611_D5-PM,Freshwater,20260611,D5-PM,PW
279,280,TMP_FW_PW_C6_50cm_SO4_20260611_D5-PM,Freshwater,20260611,D5-PM,PW
280,281,TMP_FW_PW_D5_15cm_SO4_20260611_D5-PM,Freshwater,20260611,D5-PM,PW
281,282,TMP_FW_PW_E3_15cm_SO4_20260611_D5-PM,Freshwater,20260611,D5-PM,PW
282,283,TMP_FW_PW_F4_15cm_SO4_20260611_D5-PM,Freshwater,20260611,D5-PM,PW
283,284,TMP_FW_PW_F4_30cm_SO4_20260611_D5-PM,Freshwater,20260611,D5-PM,PW
284,285,TMP_FW_PW_F4_50cm_SO4_20260611_D5-PM,Freshwater,20260611,D5-PM,PW
285,287,TMP_FW_PW_H3_15cm_SO4_20260611_D5-PM,Freshwater,20260611,D5-PM,PW
286,288,TMP_FW_PW_H3_30cm_SO4_20260611_D5-PM,Freshwater,20260611,D5-PM,PW
287,289,TMP_FW_PW_H3_50cm_SO4_20260611_D5-PM,Freshwater,20260611,D5-PM,PW
288,290,TMP_FW_PW_H6_15cm_SO4_20260611_D5-PM,Freshwater,20260611,D5-PM,PW
289,291,TMP_FW_PW_H6_30cm_SO4_20260611_D5-PM,Freshwater,20260611,D5-PM,PW
290,292,TMP_FW_PW_H6_50cm_SO4_20260611_D5-PM,Freshwater,20260611,D5-PM,PW
291,293,TMP_FW_PW_I5_15cm_SO4_20260611_D5-PM,Freshwater,20260611,D5-PM,PW
292,286,TMP_FW_PW_F6_15cm_SO4_20260611_D5-PM,Freshwater,20260611,D5-PM,PW
293,294,TMP_SW_SCE_SO4_20260611_D5-PM,Saltwater,20260611,D5-PM,SCE
294,295,TMP_FW_SCE_SO4_20260611_D5-PM,Freshwater,20260611,D5-PM,SCE
295,296,TMP_EST_SCE_SO4_20260611_D5-PM,Estuary,20260611,D5-PM,SCE
296,252,TMP_SW_RO_SO4_20260611_D5-T1,Saltwater,20260611,D5-T1,RO
297,253,TMP_FW_RO_SO4_20260611_D5-T1,Freshwater,20260611,D5-T1,RO
298,297,TMP_SW_RO_SO4_20260611_D5-T2,Saltwater,20260611,D5-T2,RO
299,298,TMP_FW_RO_SO4_20260611_D5-T2,Freshwater,20260611,D5-T2,RO
300,299,TMP_SW_PW_B4_15cm_SO4_20260612_D6_PM,Saltwater,20260612,D6_PM,PW
301,300,TMP_SW_PW_C3_15cm_SO4_20260612_D6_PM,Saltwater,20260612,D6_PM,PW
302,301,TMP_SW_PW_C3_50cm_SO4_20260612_D6_PM,Saltwater,20260612,D6_PM,PW
303,302,TMP_SW_PW_C6_15cm_SO4_20260612_D6_PM,Saltwater,20260612,D6_PM,PW
304,303,TMP_SW_PW_C6_30cm_SO4_20260612_D6_PM,Saltwater,20260612,D6_PM,PW
305,304,TMP_SW_PW_C6_50cm_SO4_20260612_D6_PM,Saltwater,20260612,D6_PM,PW
306,305,TMP_SW_PW_D5_15cm_SO4_20260612_D6_PM,Saltwater,20260612,D6_PM,PW
307,306,TMP_SW_PW_E3_15cm_SO4_20260612_D6_PM,Saltwater,20260612,D6_PM,PW
308,307,TMP_SW_PW_F4_15cm_SO4_20260612_D6_PM,Saltwater,20260612,D6_PM,PW
309,308,TMP_SW_PW_F4_30cm_SO4_20260612_D6_PM,Saltwater,20260612,D6_PM,PW
310,309,TMP_SW_PW_F4_50cm_SO4_20260612_D6_PM,Saltwater,20260612,D6_PM,PW
311,311,TMP_SW_PW_H3_15cm_SO4_20260612_D6_PM,Saltwater,20260612,D6_PM,PW
312,312,TMP_SW_PW_H3_30cm_SO4_20260612_D6_PM,Saltwater,20260612,D6_PM,PW
313,313,TMP_SW_PW_H3_50cm_SO4_20260612_D6_PM,Saltwater,20260612,D6_PM,PW
314,314,TMP_SW_PW_H6_15cm_SO4_20260612_D6_PM,Saltwater,20260612,D6_PM,PW
315,315,TMP_SW_PW_H6_30cm_SO4_20260612_D6_PM,Saltwater,20260612,D6_PM,PW
316,316,TMP_SW_PW_H6_50cm_SO4_20260612_D6_PM,Saltwater,20260612,D6_PM,PW
317,317,TMP_SW_PW_I5_15cm_SO4_20260612_D6_PM,Saltwater,20260612,D6_PM,PW
318,310,TMP_SW_PW_F6_15cm_SO4_20260612_D6_PM,Saltwater,20260612,D6_PM,PW
319,318,TMP_FW_PW_B4_15cm_SO4_20260612_D6_PM,Freshwater,20260612,D6_PM,PW
320,319,TMP_FW_PW_C3_15cm_SO4_20260612_D6_PM,Freshwater,20260612,D6_PM,PW
321,320,TMP_FW_PW_C3_30cm_SO4_20260612_D6_PM,Freshwater,20260612,D6_PM,PW
322,321,TMP_FW_PW_C3_50cm_SO4_20260612_D6_PM,Freshwater,20260612,D6_PM,PW
323,322,TMP_FW_PW_C6_15cm_SO4_20260612_D6_PM,Freshwater,20260612,D6_PM,PW
324,323,TMP_FW_PW_C6_30cm_SO4_20260612_D6_PM,Freshwater,20260612,D6_PM,PW
325,324,TMP_FW_PW_C6_50cm_SO4_20260612_D6_PM,Freshwater,20260612,D6_PM,PW
326,325,TMP_FW_PW_D5_15cm_SO4_20260612_D6_PM,Freshwater,20260612,D6_PM,PW
327,326,TMP_FW_PW_E3_15cm_SO4_20260612_D6_PM,Freshwater,20260612,D6_PM,PW
328,327,TMP_FW_PW_F4_15cm_SO4_20260612_D6_PM,Freshwater,20260612,D6_PM,PW
329,328,TMP_FW_PW_F4_30cm_SO4_20260612_D6_PM,Freshwater,20260612,D6_PM,PW
330,329,TMP_FW_PW_F4_50cm_SO4_20260612_D6_PM,Freshwater,20260612,D6_PM,PW
331,331,TMP_FW_PW_H3_15cm_SO4_20260612_D6_PM,Freshwater,20260612,D6_PM,PW
332,332,TMP_FW_PW_H3_30cm_SO4_20260612_D6_PM,Freshwater,20260612,D6_PM,PW
333,333,TMP_FW_PW_H3_50cm_SO4_20260612_D6_PM,Freshwater,20260612,D6_PM,PW
334,334,TMP_FW_PW_H6_15cm_SO4_20260612_D6_PM,Freshwater,20260612,D6_PM,PW
335,335,TMP_FW_PW_H6_30cm_SO4_20260612_D6_PM,Freshwater,20260612,D6_PM,PW
336,336,TMP_FW_PW_H6_50cm_SO4_20260612_D6_PM,Freshwater,20260612,D6_PM,PW
337,337,TMP_FW_PW_I5_15cm_SO4_20260612_D6_PM,Freshwater,20260612,D6_PM,PW
338,330,TMP_FW_PW_F6_15cm_SO4_20260612_D6_PM,Freshwater,20260612,D6_PM,PW
