"","Sample_ID","Site","Plot","Grid","Depth_cm","Event_Time","Time_of_day","Source","Volume_mL","Collection_Date","Evacuation_Date","Collection_Start_Time_24hrs","Collection_End_Time_24hrs","Deployment_Date","Deployment_Time_24hrs","Collection_Time_24hrs","NOx_Conc_mgL","NOx_Conc_uM","NOx_Conc_Flag","NOx_QAQC_Flag","NH3_Conc_mgL","NH3_Conc_uM","NH3_Conc_Flag","NH3_QAQC_Flag","PO4_Conc_mgL","PO4_Conc_uM","PO4_Conc_Flag","PO4_QAQC_Flag","Analysis_rundate","Run_notes","Field_notes"
"45","TMP_SW_F6_20241003_15cm","TEMPEST","SW","F6","15",NA,NA,"PW",8,"20241003",20240930,1113,1255,NA,NA,NA,NA,NA,NA,NA,0.017581,1.25518501859824,"bdl","",0.003277,0.105799224517835,"Within_Range","","04/17/2026","Run 3 needed samples reran because volume was low for NH4 and PO4, 0416 end of run had low volume for PE_Chk","clear"
"46","TMP_SW_F6_20241213_15cm","TEMPEST","SW","F6","15",NA,NA,"PW",8,"20241213",20241210,1207,1254,NA,NA,NA,0,0,"bdl","",0.006195,0.442288333440425,"bdl","",0.000997,0.0321885342826616,"bdl","","04/17/2026","Run 3 needed samples reran because volume was low for NH4 and PO4, 0416 end of run had low volume for PE_Chk","Clear; bottle mislabeled as F4 but it is from F6"
"47","TMP_SW_H3_20240715_15cm","TEMPEST","SW","H3","15",NA,NA,"PW",6,"20240715",20240711,1051,1234,NA,NA,NA,0.031215,2.22857632418771,"Within_Range","",0.163937,11.7041844260247,"Within_Range","",0.004384,0.14153915175044,"Within_Range","Performance Check NOT Within 25% - REASSESS","04/16/2026","Run 3 needed samples reran because volume was low for NH4 and PO4, 0416 end of run had low volume for PE_Chk","clear"
"48","TMP_SW_H3_20240808_15cm","TEMPEST","SW","H3","15",NA,NA,"PW",8,"20240808",20240805,1002,946,NA,NA,NA,0.011598,0.828032298828418,"bdl","",0.04898,3.49689791314157,"Within_Range","",0.004715,0.152225615990721,"Within_Range","Performance Check NOT Within 25% - REASSESS","04/16/2026","Run 3 needed samples reran because volume was low for NH4 and PO4, 0416 end of run had low volume for PE_Chk","clear"
"49","TMP_SW_H3_20241003_15cm","TEMPEST","SW","H3","15",NA,NA,"PW",8,"20241003",20240930,938,1336,NA,NA,NA,0.014458,1.03222029457331,"bdl","",0.034746,2.48066996508814,"Within_Range","",0.015006,0.484474569153079,"Within_Range","Performance Check NOT Within 25% - REASSESS","04/16/2026","Run 3 needed samples reran because volume was low for NH4 and PO4, 0416 end of run had low volume for PE_Chk","clear"
"50","TMP_SW_H6_20240812_15cm","TEMPEST","SW","H6","15",NA,NA,"PW",8,"20240812",20240808,925,1027,NA,NA,NA,0.013948,0.995809148478942,"bdl","",0.03552,2.53592923386665,"Within_Range","",0.004327,0.13969888449456,"Within_Range","Performance Check NOT Within 25% - REASSESS","04/16/2026","Run 3 needed samples reran because volume was low for NH4 and PO4, 0416 end of run had low volume for PE_Chk","clear"
"51","TMP_SW_H6_20241003_15cm","TEMPEST","SW","H6","15",NA,NA,"PW",8,"20241003",20240930,935,1304,NA,NA,NA,0.004738,0.3382666866571,"bdl","",0.004342,0.309994502630884,"bdl","",0.006901,0.222801479523217,"Within_Range","Performance Check NOT Within 25% - REASSESS","04/16/2026","Run 3 needed samples reran because volume was low for NH4 and PO4, 0416 end of run had low volume for PE_Chk","Yellow"
"52","TMP_SW_H6_20241213_15cm","TEMPEST","SW","H6","15",NA,NA,"PW",8,"20241213",20241210,1212,1306,NA,NA,NA,0,0,"bdl","",0.016984,1.2125625593466,"bdl","",0.01755,0.566608602468115,"Within_Range","","04/17/2026","Run 3 needed samples reran because volume was low for NH4 and PO4, 0416 end of run had low volume for PE_Chk","light yellow"
"53","TMP_SW_I5_20240808_15cm","TEMPEST","SW","I5","15",NA,NA,"PW",8,"20240808",20240805,956,935,NA,NA,NA,0.008748,0.62455824712459,"bdl","",0.020673,1.47593651609587,"Within_Range","",0.006406,0.206820211248475,"Within_Range","Performance Check NOT Within 25% - REASSESS","04/16/2026","Run 3 needed samples reran because volume was low for NH4 and PO4, 0416 end of run had low volume for PE_Chk","clear"
"54","TMP_SW_I5_20241003_15cm","TEMPEST","SW","I5","15",NA,NA,"PW",6,"20241003",20240930,936,1326,NA,NA,NA,0.00155,0.110661326365239,"bdl","",0.025456,1.81741595093777,"Within_Range","",0.008587,0.277234647828701,"Within_Range","Performance Check NOT Within 25% - REASSESS","04/16/2026","Run 3 needed samples reran because volume was low for NH4 and PO4, 0416 end of run had low volume for PE_Chk","clear"
"55","TMP_SW_I5_20241213_15cm","TEMPEST","SW","I5","15",NA,NA,"PW",8,"20241213",20241210,1214,1318,NA,NA,NA,0,0,"bdl","",0.016693,1.19178678775158,"bdl","",0.006745,0.217764958612389,"Within_Range","","04/17/2026","Run 3 needed samples reran because volume was low for NH4 and PO4, 0416 end of run had low volume for PE_Chk","Clear"
"56","TMP_SW_RainWater_Dec10-12_2024","TEMPEST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.174127,12.431693403871,"Within_Range","",0.022194,1.58452740474202,"Within_Range","",0.221284,7.14424034122817,"Within_Range","","04/17/2026","Run 3 needed samples reran because volume was low for NH4 and PO4, 0416 end of run had low volume for PE_Chk",NA
